,anchor_id,group,xmin,ymin,xmax,ymax,has_algorithmic_boundary,coords_x,coords_y,bbox_area,color
33,"8414,54657,8442,54679_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",macrophage,122,236,157,264,0,"122,157,157,122,122","236,236,264,264,236",616,"rgb(51,102,153)"
34,"8487,54519,8507,54537_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,214,63,239,85,0,"214,239,239,214,214","63,63,85,85,63",360,"rgb(0,0,255)"
35,"8319,54615,8342,54634_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,0,182,45,209,1,"40,25,11,8,2,0,1,2,7,8,16,32,42,45,42,42,40","207,209,207,207,202,197,189,187,184,182,182,184,185,189,197,202,207",756,"rgb(0,255,255)"
36,"8529,54692,8553,54710_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,259,276,296,306,1,"259,259,264,269,274,282,288,293,296,293,288,277,269,263,259","299,291,281,278,276,276,278,283,288,301,305,306,306,305,299",696,"rgb(0,0,255)"
37,"8368,54592,8385,54611_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,64,155,85,178,0,"64,85,85,64,64","155,155,178,178,155",323,"rgb(0,0,255)"
38,"8387,54538,8407,54560_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,88,86,113,114,0,"88,113,113,88,88","86,86,114,114,86",440,"rgb(0,255,255)"
39,"8458,54550,8480,54569_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,177,102,205,126,0,"177,205,205,177,177","102,102,126,126,102",418,"rgb(0,0,255)"
40,"8343,54558,8358,54577_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,32,112,51,136,0,"32,51,51,32,32","112,112,136,136,112",285,"rgb(0,255,255)"
41,"8387,54681,8414,54715_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",macrophage,88,267,122,310,0,"88,122,122,88,88","267,267,310,310,267",918,"rgb(51,102,153)"
42,"8435,54473,8460,54496_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,148,5,180,34,0,"148,180,180,148,148","5,5,34,34,5",575,"rgb(0,255,255)"
43,"8411,54568,8433,54584_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,118,124,146,144,0,"118,146,146,118,118","124,124,144,144,124",352,"rgb(0,255,255)"
44,"8476,54629,8499,54648_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,196,197,229,226,1,"201,196,196,201,215,221,225,226,229,229,214,201","226,221,214,207,197,197,199,201,202,211,226,226",598,"rgb(0,255,255)"
45,"8557,54595,8575,54615_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",unlabeled,302,158,325,184,0,"302,325,325,302,302","158,158,184,184,158",360,"rgb(80,80,80)"
46,"8408,54664,8423,54687_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,114,245,133,274,0,"114,133,133,114,114","245,245,274,274,245",345,"rgb(0,0,255)"
47,"8529,54599,8548,54622_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,267,163,291,192,0,"267,291,291,267,267","163,163,192,192,163",437,"rgb(0,255,255)"
48,"8572,54484,8595,54506_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",unlabeled,318,17,346,42,1,"331,321,320,318,325,340,342,346,342,340,337,331","42,41,39,34,28,18,17,18,34,42,42,42",440,"rgb(80,80,80)"
49,"8378,54489,8392,54511_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,76,25,94,52,0,"76,94,94,76,76","25,25,52,52,25",308,"rgb(0,255,255)"
50,"8426,54495,8445,54512_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,137,32,161,54,0,"137,161,161,137,137","32,32,54,54,32",323,"rgb(0,255,255)"
51,"8518,54572,8537,54599_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,253,126,276,163,1,"253,253,254,257,259,263,269,272,276,274,273,265,254,253","160,139,134,129,128,126,129,131,136,153,156,163,162,160",540,"rgb(0,255,255)"
52,"8395,54483,8418,54507_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,71,13,124,49,1,"112,90,85,81,71,74,76,83,88,90,100,108,113,119,123,124,124,118,112","47,49,47,44,37,34,27,18,15,13,13,13,15,22,28,34,42,47,47",1176,"rgb(0,0,255)"
53,"8437,54634,8460,54652_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,151,204,182,230,1,"156,166,171,176,177,181,182,181,177,171,153,151,152,156","211,204,204,206,207,213,218,226,230,230,226,221,218,211",525,"rgb(0,255,255)"
