,anchor_id,group,xmin,ymin,xmax,ymax,has_algorithmic_boundary,coords_x,coords_y,bbox_area,color
10,"13313,56649,13342,56677_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",unlabeled,274,263,310,298,0,"274,310,310,274,274","263,263,298,298,263",812,"rgb(80,80,80)"
11,"13184,56513,13202,56532_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,109,91,141,120,1,"141,134,124,120,115,111,109,110,113,116,121,136,141","103,120,119,116,113,106,99,96,94,91,93,98,103",598,"rgb(0,255,255)"
12,"13246,56564,13272,56587_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,192,157,223,185,1,"223,222,207,203,201,197,195,192,196,198,203,209,217,221,223","168,180,185,183,181,180,176,168,161,159,157,157,159,161,168",550,"rgb(0,255,255)"
13,"13330,56524,13350,56546_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,295,109,318,135,1,"296,295,299,304,310,315,316,318,318,315,313,309,303,296","129,123,116,109,109,111,113,116,130,132,134,135,132,129",378,"rgb(0,0,255)"
14,"13327,56589,13346,56603_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",macrophage,291,188,315,206,0,"291,315,315,291,291","188,188,206,206,188",266,"rgb(51,102,153)"
15,"13309,56627,13327,56645_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,269,236,291,258,0,"269,291,291,269,269","236,236,258,258,236",324,"rgb(0,0,255)"
16,"13140,56619,13158,56641_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",unlabeled,60,224,79,252,1,"75,79,79,77,73,68,64,60,60,68,73,75","226,242,247,250,252,250,250,242,231,224,224,226",330,"rgb(80,80,80)"
17,"13191,56595,13210,56616_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,125,195,144,221,1,"135,129,125,125,129,132,139,144,144,142,135","221,219,211,205,197,195,195,200,211,216,221",315,"rgb(0,0,255)"
18,"13140,56459,13163,56480_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,58,23,85,55,1,"65,72,77,84,85,82,78,70,64,58,58,59,63,65","28,23,26,34,42,50,55,54,53,47,41,38,32,28",572,"rgb(0,255,255)"
19,"13123,56668,13150,56690_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,38,284,72,311,1,"38,45,57,63,68,72,72,69,65,58,53,44,39,38,38","299,293,284,284,284,294,294,299,304,309,311,311,309,308,299",594,"rgb(0,0,255)"
20,"13272,56665,13296,56685_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",unlabeled,222,284,253,309,1,"253,249,237,232,226,223,222,222,227,232,250,252,253","293,299,309,309,306,304,298,293,288,284,284,288,293",500,"rgb(80,80,80)"
21,"13209,56458,13222,56476_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,145,26,161,48,0,"145,161,161,145,145","26,26,48,48,26",234,"rgb(0,0,255)"
22,"13230,56636,13251,56659_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,171,247,201,272,1,"171,183,190,195,201,201,193,191,185,176,172,171","253,247,248,250,257,263,270,272,272,268,267,253",480,"rgb(0,255,255)"
23,"13113,56612,13132,56631_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,26,217,49,241,0,"26,49,49,26,26","217,217,241,241,217",361,"rgb(0,0,255)"
24,"13337,56549,13357,56566_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,303,135,328,160,1,"303,304,309,310,315,318,324,328,328,321,319,309,305,303","152,145,135,135,135,137,144,152,154,159,160,159,156,152",400,"rgb(0,255,255)"
25,"13172,56624,13200,56651_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,91,214,132,262,1,"131,132,129,127,113,105,103,98,93,91,91,93,98,104,109,111,123,131","242,246,255,257,262,262,260,255,239,231,224,217,214,214,214,217,231,242",1254,"rgb(0,255,255)"
26,"13099,56556,13127,56579_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,9,147,39,178,1,"9,11,23,28,39,39,37,26,22,17,12,9","160,155,147,149,165,166,178,178,176,173,168,160",600,"rgb(0,255,255)"
27,"13338,56624,13361,56645_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,305,232,334,258,0,"305,334,334,305,305","232,232,258,258,232",483,"rgb(0,0,255)"
28,"13305,56504,13321,56517_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,264,83,284,99,0,"264,284,284,264,264","83,83,99,99,83",208,"rgb(0,0,255)"
29,"13227,56521,13247,56537_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,164,103,192,130,1,"166,164,165,170,183,190,192,191,187,186,183,176,168,166","125,111,108,103,104,108,118,123,127,129,130,130,127,125",506,"rgb(0,0,255)"
30,"13228,56442,13249,56474_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",unlabeled,168,0,190,47,1,"168,173,185,186,190,188,187,186,182,180,176,175,172,168,168","9,4,0,1,9,24,37,41,45,47,45,43,36,21,9",646,"rgb(80,80,80)"
31,"13192,56649,13210,56665_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,121,260,146,284,1,"146,142,141,139,130,127,123,121,123,125,135,142,146","270,282,283,284,282,280,275,270,267,265,260,262,270",380,"rgb(0,255,255)"
32,"13091,56579,13111,56606_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,0,176,27,206,1,"4,17,22,26,27,27,26,24,17,11,6,3,1,0,0,1,4","176,176,180,181,186,191,196,198,206,206,205,201,196,191,185,181,176",528,"rgb(0,255,255)"
33,"13284,56587,13305,56607_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,238,186,264,211,0,"238,264,264,238,238","186,186,211,211,186",420,"rgb(0,255,255)"
34,"13118,56640,13144,56665_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,33,247,63,278,1,"33,33,36,42,48,58,63,63,62,59,55,48,43,34,33","254,250,248,247,248,252,259,260,270,273,275,278,275,269,254",600,"rgb(0,255,255)"
35,"13275,56449,13293,56472_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,226,13,246,45,1,"233,236,239,244,246,246,244,243,234,227,226,226,227,231,233","14,13,14,17,28,34,39,42,45,44,39,32,28,19,14",416,"rgb(0,255,255)"
36,"13213,56608,13250,56632_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",fibroblast,150,212,196,242,0,"150,196,196,150,150","212,212,242,242,212",888,"rgb(0,230,77)"
37,"13297,56674,13321,56693_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,252,291,284,320,1,"284,273,272,260,257,253,252,252,253,263,275,283,284","305,319,320,318,314,309,303,299,296,291,291,299,305",598,"rgb(0,255,255)"
38,"13160,56670,13183,56687_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,84,287,111,313,1,"111,111,109,106,104,101,91,88,84,84,85,86,89,104,109,110,111","293,299,304,309,311,313,311,309,304,299,294,293,291,287,288,289,293",462,"rgb(0,0,255)"
39,"13271,56693,13288,56714_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,222,311,244,344,1,"222,224,228,229,234,236,238,243,244,234,228,223,222,222","329,319,311,311,311,313,316,328,332,344,344,342,340,329",468,"rgb(0,0,255)"
40,"13349,56516,13367,56532_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,319,98,341,118,0,"319,341,341,319,319","98,98,118,118,98",288,"rgb(0,0,255)"
41,"13142,56507,13161,56524_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,59,85,86,108,1,"80,84,85,86,85,83,80,77,64,60,59,60,67,69,80","85,86,91,100,103,105,106,108,105,103,98,95,91,90,85",396,"rgb(0,0,255)"
42,"13146,56550,13165,56571_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,67,140,91,168,1,"70,74,83,88,90,91,91,90,86,84,78,74,69,67,67,69,70","140,140,140,144,145,154,157,161,166,168,166,166,164,157,154,144,140",460,"rgb(0,0,255)"
43,"13214,56579,13231,56597_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,146,176,170,200,1,"164,160,155,151,149,146,146,149,152,157,164,170,166,164","196,200,198,196,195,191,190,183,180,176,176,181,191,196",361,"rgb(0,255,255)"
44,"13173,56439,13189,56455_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,100,2,120,22,0,"100,120,120,100,100","2,2,22,22,2",256,"rgb(0,0,255)"
45,"13232,56661,13251,56678_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,173,278,197,299,0,"173,197,197,173,173","278,278,299,299,278",323,"rgb(0,0,255)"
46,"13257,56686,13273,56702_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,205,309,224,329,0,"205,224,224,205,205","309,309,329,329,309",256,"rgb(0,255,255)"
47,"13156,56575,13177,56597_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,82,171,105,195,1,"82,84,86,88,94,99,105,105,104,101,98,89,83,82","188,176,171,171,171,171,178,186,191,193,195,193,190,188",361,"rgb(0,0,255)"
48,"13272,56483,13288,56504_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,218,55,241,83,1,"221,228,232,238,239,241,238,237,226,222,219,218,219,221","58,55,57,60,65,74,82,83,82,79,77,63,60,58",396,"rgb(0,255,255)"
49,"13132,56483,13152,56501_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,52,54,78,79,1,"52,53,63,64,75,78,77,63,60,52,52","70,67,55,54,55,67,70,78,79,77,70",420,"rgb(0,0,255)"
50,"13199,56463,13213,56487_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,127,24,160,65,1,"142,132,129,127,135,150,156,159,160,160,155,147,146,142","65,60,53,38,31,24,24,27,31,41,50,62,63,65",858,"rgb(0,0,255)"
51,"13250,56512,13270,56527_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,192,89,216,114,1,"208,200,196,192,193,195,197,205,211,213,214,216,213,208","109,114,113,108,103,99,96,89,89,89,93,96,104,109",380,"rgb(0,0,255)"
52,"13346,56633,13369,56657_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,315,243,344,273,0,"315,344,344,315,315","243,243,273,273,243",552,"rgb(0,0,255)"
53,"13337,56491,13354,56509_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,304,67,325,89,0,"304,325,325,304,304","67,67,89,89,67",306,"rgb(0,0,255)"
54,"13222,56480,13241,56494_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,161,53,185,70,0,"161,185,185,161,161","53,53,70,70,53",266,"rgb(0,0,255)"
55,"13300,56515,13317,56536_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,257,79,283,123,1,"283,279,278,274,272,265,262,260,257,257,262,263,268,270,277,280,282,283","89,111,114,119,123,120,119,118,108,101,88,86,82,79,79,82,82,89",735,"rgb(0,0,255)"
56,"13315,56590,13349,56614_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",unlabeled,274,182,314,219,1,"277,274,278,296,305,308,313,314,309,287,279,277","211,188,182,185,188,190,193,203,211,219,216,211",960,"rgb(80,80,80)"
57,"13206,56542,13222,56557_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,141,130,161,149,0,"141,161,161,141,141","130,130,149,149,130",240,"rgb(0,255,255)"
58,"13123,56476,13133,56496_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,38,48,50,73,0,"38,50,50,38,38","48,48,73,73,48",200,"rgb(0,0,255)"
59,"13246,56488,13264,56507_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,187,52,216,85,1,"187,188,191,196,198,213,216,216,214,212,207,201,195,190,187","79,68,63,54,52,59,63,65,75,79,83,85,85,82,79",621,"rgb(0,0,255)"
60,"13110,56488,13123,56513_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,19,53,48,96,1,"41,34,28,24,23,19,22,28,38,41,44,45,48,48,41","86,96,93,91,89,84,70,63,55,53,55,55,60,65,86",805,"rgb(0,0,255)"
61,"13198,56690,13221,56707_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,131,311,157,339,1,"131,132,136,142,149,155,156,157,157,156,151,142,136,135,131,131","324,319,316,311,311,311,313,319,321,324,330,339,337,337,329,324",462,"rgb(0,0,255)"
62,"13242,56603,13263,56627_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,186,206,212,236,0,"186,212,212,186,186","206,206,236,236,206",504,"rgb(0,255,255)"
63,"13102,56461,13115,56476_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,12,29,28,48,0,"12,28,28,12,12","29,29,48,48,29",195,"rgb(0,0,255)"
64,"13331,56564,13359,56591_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",plasma_cell,299,160,330,196,1,"319,305,300,299,301,303,305,311,320,325,329,330,330,329,319","196,186,178,171,166,164,160,160,166,170,176,181,188,193,196",725,"rgb(0,255,255)"
65,"13161,56516,13179,56534_TCGA-C8-A12V-01Z-00-DX1_left-13102_top-56447_bottom-56703_right-13358",lymphocyte,85,96,106,120,1,"85,86,93,99,105,106,106,99,91,88,85","106,104,96,96,104,113,115,120,120,113,106",323,"rgb(0,0,255)"
